name, nr_of_swaps, nr_of_comparison, time_secondsselectSort, 100, 99, 4950, 0.000000
insertionSort, 100, 2724, 2625, 0.000000
heapSort, 100, 575, 1250, 0.000000
quickSort, 100, 406, 579, 0.000000
selectSort, 200, 199, 19900, 0.000000
insertionSort, 200, 9898, 9699, 0.000000
heapSort, 200, 1369, 2938, 0.000000
quickSort, 200, 785, 1327, 0.000000
selectSort, 300, 299, 44850, 0.000000
insertionSort, 300, 22865, 22566, 0.000000
heapSort, 300, 2202, 4704, 0.000000
quickSort, 300, 1368, 2437, 0.000000
selectSort, 400, 399, 79800, 0.000000
insertionSort, 400, 42120, 41721, 0.000000
heapSort, 400, 3103, 6606, 0.000000
quickSort, 400, 1999, 3512, 0.000000
selectSort, 500, 499, 124750, 0.001000
insertionSort, 500, 66102, 65603, 0.000000
heapSort, 500, 4007, 8514, 0.000000
quickSort, 500, 3190, 4696, 0.000000
selectSort, 600, 599, 179700, 0.000000
insertionSort, 600, 89056, 88457, 0.001000
heapSort, 600, 5021, 10642, 0.000000
quickSort, 600, 3371, 5707, 0.000000
selectSort, 700, 699, 244650, 0.000000
insertionSort, 700, 123064, 122365, 0.001000
heapSort, 700, 6021, 12742, 0.000000
quickSort, 700, 3800, 7274, 0.000000
selectSort, 800, 799, 319600, 0.000000
insertionSort, 800, 159987, 159188, 0.001000
heapSort, 800, 7008, 14816, 0.000000
quickSort, 800, 4540, 8489, 0.000000
selectSort, 900, 899, 404550, 0.001000
insertionSort, 900, 195637, 194738, 0.001000
heapSort, 900, 8054, 17008, 0.000000
quickSort, 900, 6700, 10932, 0.000000
selectSort, 1000, 999, 499500, 0.001000
insertionSort, 1000, 251765, 250766, 0.001000
heapSort, 1000, 9066, 19132, 0.000000
quickSort, 1000, 5412, 10518, 0.000000
selectSort, 1100, 1099, 604450, 0.001000
insertionSort, 1100, 298100, 297001, 0.001000
heapSort, 1100, 10201, 21502, 0.000000
quickSort, 1100, 6954, 12125, 0.000000
selectSort, 1200, 1199, 719400, 0.002000
insertionSort, 1200, 368507, 367308, 0.001000
heapSort, 1200, 11212, 23624, 0.000000
quickSort, 1200, 8036, 12948, 0.000000
selectSort, 1300, 1299, 844350, 0.002000
insertionSort, 1300, 436573, 435274, 0.001000
heapSort, 1300, 12350, 26000, 0.000000
quickSort, 1300, 9088, 16179, 0.001000
selectSort, 1400, 1399, 979300, 0.002000
insertionSort, 1400, 494178, 492779, 0.001000
heapSort, 1400, 13465, 28330, 0.000000
quickSort, 1400, 9345, 16497, 0.000000
selectSort, 1500, 1499, 1124250, 0.003000
insertionSort, 1500, 582900, 581401, 0.001000
heapSort, 1500, 14489, 30478, 0.001000
quickSort, 1500, 10245, 18073, 0.000000
selectSort, 1600, 1599, 1279200, 0.003000
insertionSort, 1600, 633492, 631893, 0.001000
heapSort, 1600, 15659, 32918, 0.000000
quickSort, 1600, 11132, 17784, 0.001000
selectSort, 1700, 1699, 1444150, 0.003000
insertionSort, 1700, 746118, 744419, 0.002000
heapSort, 1700, 16765, 35230, 0.000000
quickSort, 1700, 12234, 20701, 0.000000
selectSort, 1800, 1799, 1619100, 0.004000
insertionSort, 1800, 795609, 793810, 0.002000
heapSort, 1800, 17926, 37652, 0.000000
quickSort, 1800, 13008, 22046, 0.000000
selectSort, 1900, 1899, 1804050, 0.004000
insertionSort, 1900, 896948, 895049, 0.003000
heapSort, 1900, 19061, 40022, 0.000000
quickSort, 1900, 13500, 22573, 0.000000
selectSort, 2000, 1999, 1999000, 0.004000
insertionSort, 2000, 995356, 993357, 0.003000
heapSort, 2000, 20137, 42274, 0.000000
quickSort, 2000, 15524, 25025, 0.000000
selectSort, 2100, 2099, 2203950, 0.004000
insertionSort, 2100, 1131497, 1129398, 0.003000
heapSort, 2100, 21248, 44596, 0.001000
quickSort, 2100, 12217, 26230, 0.000000
selectSort, 2200, 2199, 2418900, 0.005000
insertionSort, 2200, 1215258, 1213059, 0.003000
heapSort, 2200, 22505, 47210, 0.001000
quickSort, 2200, 14185, 26340, 0.000000
selectSort, 2300, 2299, 2643850, 0.005000
insertionSort, 2300, 1333973, 1331674, 0.004000
heapSort, 2300, 23650, 49600, 0.000000
quickSort, 2300, 14343, 26553, 0.001000
selectSort, 2400, 2399, 2878800, 0.006000
insertionSort, 2400, 1402035, 1399636, 0.003000
